Filtering the log data using "subsystem == "com.apple.hid" OR (process == "kernel" AND composedMessage CONTAINS "Apple")"
Timestamp                       Thread     Type        Activity             PID    TTL
2026-03-30 01:33:13.140211-0600 0x14bec3a  Default     0x0                  0      0    kernel: (IOHIDFamily) <dict ID="0"><key>IORegistryEntryID</key><integer size="64" ID="1">0x1009031d1</integer><key>IOName</key><string ID="2">AppleUSBTopCaseHIDDriver</string><key>Transport</key><string ID="3">USB</string><key>VendorID</key><integer size="16" ID="4">0x5ac</integer><key>ProductID</key><integer size="16" ID="5">0x265</integer><key>VersionNumber</key><integer size="16" ID="6">0x871</integer><key>Manufacturer</key><string ID="7">Apple Inc.</string><key>Product</key><string ID="8">Magic Trackpad</string><key>LocationID</key><integer size="32" ID="9">0x2140000</integer><key>CountryCode</key><integer size="8" ID="10">0x0</integer><key>SerialNumber</key><string ID="11">BT2USB0000000001</string><key>ReportDescriptor</key><data ID="12">BgD/CQGhAQkBFQAm/wB1CJVAgQIJARUAJv8AdQiVQJECwA==</data></dict>
2026-03-30 01:33:13.140370-0600 0x14bec38  Default     0x0                  0      0    kernel: (IOHIDFamily) <dict ID="0"><key>IORegistryEntryID</key><integer size="64" ID="1">0x1009031d7</integer><key>IOName</key><string ID="2">AppleUSBTopCaseHIDDriver</string><key>Transport</key><string ID="3">USB</string><key>VendorID</key><integer size="16" ID="4">0x5ac</integer><key>ProductID</key><integer size="16" ID="5">0x265</integer><key>VersionNumber</key><integer size="16" ID="6">0x871</integer><key>Manufacturer</key><string ID="7">Apple Inc.</string><key>Product</key><string ID="8">Magic Trackpad</string><key>LocationID</key><integer size="32" ID="9">0x2140000</integer><key>CountryCode</key><integer size="8" ID="10">0x0</integer><key>SerialNumber</key><string ID="11">BT2USB0000000001</string><key>ReportDescriptor</key><data ID="12">BQEJBqEBBQcZ4CnnFQAlAXUBlQiBAhkAKf8m/wB1CJUBgQMFCBkBKQUlAXUBlQWRApUDkQMFBxkAKd0m/wB1CJUGgQDA</data></dict>
2026-03-30 01:33:13.140480-0600 0x14bec38  Default     0x0                  0      0    kernel: (IOHIDFamily) <dict ID="0"><key>IORegistryEntryID</key><integer size="64" ID="1">0x1009031d7</integer><key>IOName</key><string ID="2">AppleUSBTopCaseHIDDriver</string><key>Transport</key><string ID="3">USB</string><key>VendorID</key><integer size="16" ID="4">0x5ac</integer><key>ProductID</key><integer size="16" ID="5">0x265</integer><key>VersionNumber</key><integer size="16" ID="6">0x871</integer><key>Manufacturer</key><string ID="7">Apple Inc.</string><key>Product</key><string ID="8">Magic Trackpad</string><key>LocationID</key><integer size="32" ID="9">0x2140000</integer><key>CountryCode</key><integer size="8" ID="10">0x0</integer><key>SerialNumber</key><string ID="11">BT2USB0000000001</string><key>ReportDescriptor</key><data ID="12">BQEJBqEBBQcZ4CnnFQAlAXUBlQiBAhkAKf8m/wB1CJUBgQMFCBkBKQUlAXUBlQWRApUDkQMFBxkAKd0m/wB1CJUGgQDA</data></dict>
2026-03-30 01:33:13.140572-0600 0x14bec38  Default     0x0                  0      0    kernel: (IOHIDFamily) <dict ID="0"><key>IORegistryEntryID</key><integer size="64" ID="1">0x1009031d7</integer><key>IOName</key><string ID="2">AppleUSBTopCaseHIDDriver</string><key>Transport</key><string ID="3">USB</string><key>VendorID</key><integer size="16" ID="4">0x5ac</integer><key>ProductID</key><integer size="16" ID="5">0x265</integer><key>VersionNumber</key><integer size="16" ID="6">0x871</integer><key>Manufacturer</key><string ID="7">Apple Inc.</string><key>Product</key><string ID="8">Magic Trackpad</string><key>LocationID</key><integer size="32" ID="9">0x2140000</integer><key>CountryCode</key><integer size="8" ID="10">0x0</integer><key>SerialNumber</key><string ID="11">BT2USB0000000001</string><key>ReportDescriptor</key><data ID="12">BQEJBqEBBQcZ4CnnFQAlAXUBlQiBAhkAKf8m/wB1CJUBgQMFCBkBKQUlAXUBlQWRApUDkQMFBxkAKd0m/wB1CJUGgQDA</data></dict>
2026-03-30 01:33:13.145371-0600 0x14bec3c  Debug       0x0                  0      0    kernel: (IOHIDFamily) AppleUSBTopCaseHIDDriver:0x1009031d2 creating interfaces
2026-03-30 01:33:13.151875-0600 0x14bec3c  Default     0x0                  0      0    kernel: (IOHIDFamily) IOHIDInterface:0x1009031dc start for AppleUSBTopCaseHIDDriver:0x1009031d2
2026-03-30 01:33:13.155556-0600 0x14bec3f  Debug       0x0                  0      0    kernel: (IOHIDFamily) AppleUSBTopCaseHIDDriver:0x1009031d1 creating interfaces
2026-03-30 01:33:13.155560-0600 0x14bec3d  Debug       0x0                  0      0    kernel: (IOHIDFamily) AppleUSBTopCaseHIDDriver:0x1009031d7 creating interfaces
2026-03-30 01:33:13.155593-0600 0x14bec3d  Default     0x0                  0      0    kernel: (IOHIDFamily) IOHIDInterface:0x1009031e0 start for AppleUSBTopCaseHIDDriver:0x1009031d7
2026-03-30 01:33:13.155593-0600 0x14bec3f  Default     0x0                  0      0    kernel: (IOHIDFamily) IOHIDInterface:0x1009031df start for AppleUSBTopCaseHIDDriver:0x1009031d1
2026-03-30 01:33:13.155889-0600 0x14bec3e  Fault       0x0                  0      0    kernel: (IOHIDFamily) AppleUSBTopCaseHIDDriver:0x1009031d2 Matching has vendor DeviceUsagePage : ff0c bundleIdentifier com.apple.AppleUserHIDDrivers ioclass AppleUserHIDEventService but transport and vendorID is missing
2026-03-30 01:33:13.157941-0600 0x14bec3e  Default     0x0                  0      0    kernel: (AppleMultitouchDriver) [HID] [MT] AppleMultitouchHIDEventDriverV2::start [0x1009031E1] Entered
2026-03-30 01:33:13.157949-0600 0x14bec3e  Info        0x0                  0      0    kernel: (IOHIDFamily) AppleMultitouchTrackpadHIDEventDriver:0x1009031e1 start
2026-03-30 01:33:13.157998-0600 0x14bec3e  Default     0x0                  0      0    kernel: (IOHIDFamily) AppleUSBTopCaseHIDDriver:0x1009031d2 open by AppleMultitouchTrackpadHIDEventDriver:0x1009031e1 (0x0)
2026-03-30 01:33:13.158426-0600 0x14bec3e  Error       0x0                  0      0    kernel: (IOHIDFamily) AppleMultitouchTrackpadHIDEventDriver:0x1009031e1 Invalid digitizer transducer
